Bit Width,Test Loss,Test Accuracy
3,7497.432418182117,86.03947368421052
3,7504.052377396271,86.25
4,7387.410650686055,87.89473684210526
5,7332.0136934168195,88.21052631578948
6,7265.534002223936,88.25
7,7261.606576615021,88.48684210526315
