Bit Width,Test Loss,Test Accuracy
3,1.1156149874089145,0.8350315129055697
4,0.9314262811485835,0.8551558125920656
5,0.9145321326262803,0.8630514705882353
6,0.9173883609476151,0.8605392159534102
7,0.8920941573465947,0.866412815426578
8,0.9071855206324273,0.8655112047656244
16,0.9119875851775003,0.8631915267275161
32,0.9137864880027307,0.8723389358580613
